ulke,orgut_kodu
Austria,AB
Belgium,AB
Bulgaria,AB
Croatia,AB
Czech Republic,AB
Denmark,AB
Finland,AB
France,AB
Germany,AB
Greece,AB
Hungary,AB
Ireland,AB
Italy,AB
Netherlands,AB
Poland,AB
Portugal,AB
Romania,AB
Slovak Republic,AB
Slovenia,AB
Spain,AB
Sweden,AB
Cambodia,ASEAN
Indonesia,ASEAN
Malaysia,ASEAN
Myanmar,ASEAN
Philippines,ASEAN
Singapore,ASEAN
Thailand,ASEAN
Vietnam,ASEAN
Argentina,MERCOSUR
Brazil,MERCOSUR
Paraguay,MERCOSUR
Uruguay,MERCOSUR
Albania,NATO
Belgium,NATO
Bulgaria,NATO
Canada,NATO
Croatia,NATO
Czech Republic,NATO
Denmark,NATO
Finland,NATO
France,NATO
Germany,NATO
Greece,NATO
Hungary,NATO
Iceland,NATO
Italy,NATO
Montenegro,NATO
Netherlands,NATO
Norway,NATO
Poland,NATO
Portugal,NATO
Romania,NATO
Slovak Republic,NATO
Slovenia,NATO
Spain,NATO
Sweden,NATO
Turkey,NATO
United Kingdom,NATO
United States,NATO
